#,Job_ID,Reserved,v1: Lighting Electricity [kWh],s1: Electricity [kWh],s1: normalized,t1: Heating [kWh],t2: Cooling [kWh]
0,LHS-000840,,63350.352,147100.788,0.15700262666666667,157745.37791247224,20327.51143808111
0,LHS-000059,,51790.75199999999,133193.808,0.11064602666666663,103154.76774075,32431.301722808053
0,LHS-000843,,68386.03199999999,127170.0405,0.09056680166666668,134629.83584999805,20036.830257846002
0,LHS-000842,,101576.59199999999,215957.7855,0.38652595166666665,86730.1117857725,37718.19035964111
0,LHS-000845,,101576.59199999999,215957.7855,0.38652595166666665,20854.827465691113,64978.275846437224
0,LHS-000844,,18600.192,132981.3855,0.10993795166666669,42061.02239554472,41771.63628773527
0,LHS-000835,,52436.592,168284.898,0.22761632666666662,40831.17230611389,48560.91759731917
0,LHS-000255,,84981.31199999999,199362.5055,0.3312083516666667,3756.995222044083,109004.39726977001
0,LHS-000836,,84981.31199999999,199362.5055,0.3312083516666667,46713.44504405112,43382.83871944055
0,LHS-000256,,35195.472,116598.528,0.05532842666666669,161415.04058347223,12358.969105962415
0,LHS-000837,,51790.75199999999,143552.89800000002,0.14517632666666672,18375.96735321614,84494.80863046389
0,LHS-000257,,35195.472,104338.5705,0.014461901666666672,86623.48091560943,33782.836945075556
0,LHS-000838,,101576.59199999999,160360.6005,0.20120200166666666,60417.76305207389,70171.80355264334
0,LHS-000258,,35195.472,71360.433,0.0,125625.43773398778,18329.19244271925
0,LHS-000839,,68386.03199999999,104550.993,0.015169976666666673,42130.504698951394,19962.56915391742
